path,scanner,dpi
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_100_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_10_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_11_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_12_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_13_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_14_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_15_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_16_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_17_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_18_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_19_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_1_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_20_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_21_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_22_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_23_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_24_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_25_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_26_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_27_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_28_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_29_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_2_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_30_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_31_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_32_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_33_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_34_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_35_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_36_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_37_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_38_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_39_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_3_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_40_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_41_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_42_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_43_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_44_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_45_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_46_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_47_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_48_res_vis.png,Canon120-1,150
