scanner_folder,image_name,mean_residual,residual_image_path
Canon120-1\150,s1_1 (1).tif,9.681173196440795e-08,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_1 (1).tif
Canon120-1\150,s1_1.tif,1.0800272320921067e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_1.tif
Canon120-1\150,s1_10.tif,1.0813573680934496e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_10.tif
Canon120-1\150,s1_100.tif,1.1215877293579979e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_100.tif
Canon120-1\150,s1_11.tif,1.0599137567623984e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_11.tif
Canon120-1\150,s1_12.tif,1.0951464446407044e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_12.tif
Canon120-1\150,s1_13.tif,1.0905819181061815e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_13.tif
Canon120-1\150,s1_14.tif,1.0917551662714686e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_14.tif
Canon120-1\150,s1_15.tif,1.0502594705030788e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_15.tif
Canon120-1\150,s1_16.tif,1.0712778930610511e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_16.tif
Canon120-1\150,s1_17.tif,1.1510167041706154e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_17.tif
Canon120-1\150,s1_18.tif,1.1130407528980868e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_18.tif
Canon120-1\150,s1_19.tif,1.017126578517491e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_19.tif
Canon120-1\150,s1_2.tif,9.899497399601387e-08,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_2.tif
Canon120-1\150,s1_20(4).tif,9.736038464325247e-08,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_20(4).tif
Canon120-1\150,s1_20.tif,1.0209748779743677e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_20.tif
Canon120-1\150,s1_21.tif,1.133342948378413e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_21.tif
Canon120-1\150,s1_22.tif,1.1514384823385626e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_22.tif
Canon120-1\150,s1_23.tif,1.093850414690678e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_23.tif
Canon120-1\150,s1_24.tif,1.119678927352652e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_24.tif
Canon120-1\150,s1_25.tif,1.094387016564724e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_25.tif
Canon120-1\150,s1_26.tif,1.1197596450074343e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_26.tif
Canon120-1\150,s1_27.tif,1.0604878752928926e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_27.tif
Canon120-1\150,s1_28.tif,1.1309805358905578e-07,D:\Scanner_Source_Identification\Processed_Results\Canon120-1\150\residual_s1_28.tif
